Calls,Rating,Cost,Purchases,Importance,Gender,Discount,Weight (gram),Late,log_discount,log_purchases,Std_Cost,Std_Disc,Std_Weight,Std_Purchases,Std_Calls,Norm_Cost,Norm_Disc,Norm_Weight,Norm_Purchases,Norm_Calls,Warehouse_A,Warehouse_B,Warehouse_C,Warehouse_D,Warehouse_F,Shipment_Flight,Shipment_Road,Shipment_Ship
4,2,177,3,0,0,44,1233,1,3.784189633918261,1.0986122886681098,-0.6984537874667226,1.7263430883623068,-1.471859617962779,-0.22393419903894907,-0.05735047693755577,0.37850467289719625,0.9205316823018733,0.03389335281227174,0.29248125036057826,0.4,0,0,0,1,0,1,0,0
4,5,216,2,0,1,59,3088,1,4.07753744390572,0.6931471805599453,0.11276921967939078,2.004155199575281,-0.34060478478450845,-1.3665729407460325,-0.05735047693755577,0.5607476635514018,0.991890673037156,0.3048940832724616,0.0,0.4,0,0,0,0,1,1,0,0
2,2,183,4,0,1,48,3374,1,3.871201010907891,1.3862943611198906,-0.573650247905782,1.8087463431950959,-0.16619029298451632,0.5867808901378444,-1.803627374132037,0.40654205607476634,0.9416978333112593,0.3466764061358656,0.5,0.0,1,0,0,0,0,1,0,0
3,3,176,4,1,1,10,1177,1,2.302585092994046,1.3862943611198906,-0.719254377393546,0.3232043176502197,-1.5060107072662738,0.5867808901378444,-0.9304889255347963,0.3738317757009346,0.5601205897026693,0.02571219868517166,0.5,0.20000000000000007,0,1,0,0,0,1,0,0
2,2,184,3,1,0,46,2484,1,3.828641396489095,1.0986122886681098,-0.5528496579789587,1.7684406857756614,-0.7089486765579184,-0.22393419903894907,-1.803627374132037,0.4112149532710281,0.931344897214215,0.216654492330168,0.29248125036057826,0.0,0,0,1,0,0,1,0,0
3,1,162,3,1,0,12,1417,1,2.4849066497880004,1.0986122886681098,-1.0104626363690739,0.4958701255685748,-1.3596488959655813,-0.22393419903894907,-0.9304889255347963,0.30841121495327106,0.6044716359322571,0.06077428780131483,0.29248125036057826,0.20000000000000007,0,0,0,0,1,1,0,0
3,4,250,3,0,0,3,2371,1,1.0986122886681098,1.0986122886681098,0.819989277191387,-0.8170060920579462,-0.7778606960453278,-0.22393419903894907,-0.9304889255347963,0.7196261682242991,0.26724543855325483,0.20014609203798392,0.29248125036057826,0.20000000000000007,0,0,0,1,0,1,0,0
4,1,233,2,0,0,48,2804,1,3.871201010907891,0.6931471805599453,0.4663792484353889,1.8087463431950959,-0.5137995948236614,-1.3665729407460325,-0.05735047693755577,0.6401869158878505,0.9416978333112593,0.2634039444850256,0.0,0.4,0,0,0,0,1,1,0,0
3,4,150,3,0,0,11,1861,1,2.3978952727983707,1.0986122886681098,-1.2600697154909548,0.4134668707357861,-1.0888795450592996,-0.22393419903894907,-0.9304889255347963,0.25233644859813087,0.5833054849228712,0.12563915266617967,0.29248125036057826,0.20000000000000007,1,0,0,0,0,1,0,0
3,2,164,3,1,0,29,1187,1,3.367295829986474,1.0986122886681098,-0.968861456515427,1.3315279785210268,-1.4999122984620783,-0.22393419903894907,-0.9304889255347963,0.31775700934579443,0.8191192289631661,0.027173119065010964,0.29248125036057826,0.20000000000000007,0,1,0,0,0,1,0,0
3,4,189,2,1,1,12,2888,1,2.4849066497880004,0.6931471805599453,-0.4488467083448415,0.4958701255685748,-0.462572960868419,-1.3665729407460325,-0.9304889255347963,0.43457943925233644,0.6044716359322571,0.27567567567567564,0.0,0.20000000000000007,0,0,1,0,0,1,0,0
4,5,232,3,1,0,32,3253,1,3.4657359027997265,1.0986122886681098,0.4455786585085655,1.4247546654950245,-0.2399810395152822,-0.22393419903894907,-0.05735047693755577,0.6355140186915887,0.8430654934475056,0.32899926953981007,0.29248125036057826,0.4,0,0,0,0,1,1,0,0
3,5,198,3,1,0,1,3667,1,0.0,1.0986122886681098,-0.26164139900343075,-1.8574358785712781,0.012493084978412651,-0.22393419903894907,-0.9304889255347963,0.47663551401869153,0.0,0.3894813732651571,0.29248125036057826,0.20000000000000007,0,0,0,1,0,1,0,0
4,4,275,3,2,1,29,2602,1,3.367295829986474,1.0986122886681098,1.3400040253619725,1.3315279785210268,-0.6369874526684111,-0.22393419903894907,-0.05735047693755577,0.836448598130841,0.8191192289631661,0.23389335281227172,0.29248125036057826,0.4,0,0,0,0,1,1,0,0
4,3,152,3,0,1,43,1009,1,3.7612001156935624,1.0986122886681098,-1.218468535637308,1.704571094925418,-1.6084639751767587,-0.22393419903894907,-0.05735047693755577,0.26168224299065423,0.9149393145999464,0.0011687363038714316,0.29248125036057826,0.4,1,0,0,0,0,1,0,0
4,3,227,3,0,0,45,2707,1,3.8066624897703196,1.0986122886681098,0.3415757088744484,1.7476257818636225,-0.5729541602243581,-0.22393419903894907,-0.05735047693755577,0.6121495327102803,0.9259983681196776,0.24923301680058438,0.29248125036057826,0.4,0,1,0,0,0,1,0,0
